kadencja;posiedzenie;date
9;55;2022-05-25
9;55;2022-05-26
9;54;2022-05-11
9;54;2022-05-12
9;53;2022-04-27
9;53;2022-04-28
9;52;2022-04-06
9;52;2022-04-07
9;52;2022-04-13
9;51;2022-03-23
9;51;2022-03-24
9;50;2022-03-08
9;50;2022-03-09
9;50;2022-03-11
9;50;2022-03-12
9;49;2022-02-23
9;49;2022-02-24
9;49;2022-03-03
9;48;2022-02-08
9;48;2022-02-09
9;47;2022-01-26
9;47;2022-01-27
9;47;2022-02-01
9;46;2022-01-12
9;46;2022-01-13
9;45;2021-12-17
9;44;2021-12-14
9;44;2021-12-15
9;43;2021-11-30
9;43;2021-12-01
9;43;2021-12-02
9;43;2021-12-08
9;43;2021-12-09
9;42;2021-11-16
9;42;2021-11-17
9;41;2021-11-09
9;40;2021-10-28
9;40;2021-10-29
9;39;2021-10-13
9;39;2021-10-14
9;38;2021-09-29
9;38;2021-09-30
9;38;2021-10-01
9;37;2021-09-15
9;37;2021-09-16
9;37;2021-09-17
9;36;2021-08-11
9;36;2021-09-06
9;36;2021-09-15
9;35;2021-07-21
9;35;2021-07-22
9;35;2021-07-23
9;34;2021-07-07
9;34;2021-07-08
9;33;2021-06-23
9;33;2021-06-24
9;32;2021-06-16
9;31;2021-06-15
9;30;2021-05-19
9;30;2021-05-20
9;30;2021-05-21
9;30;2021-05-28
9;29;2021-05-04
9;28;2021-04-14
9;28;2021-04-15
9;28;2021-04-20
9;27;2021-03-16
9;27;2021-03-17
9;27;2021-03-30
9;26;2021-02-24
9;26;2021-02-25
9;25;2021-01-20
9;25;2021-01-21
9;24;2020-12-17
9;23;2020-12-15
9;23;2020-12-16
9;22;2020-12-09
9;22;2020-12-10
9;21;2020-11-18
9;21;2020-11-19
9;21;2020-11-27
9;21;2020-11-28
9;20;2020-10-27
9;20;2020-10-28
9;19;2020-10-20
9;19;2020-10-21
9;19;2020-10-22
9;18;2020-10-07
9;17;2020-09-16
9;17;2020-09-17
9;16;2020-08-14
9;15;2020-07-22
9;15;2020-07-23
9;15;2020-07-24
9;14;2020-07-15
9;14;2020-07-16
9;13;2020-06-19
9;12;2020-05-27
9;12;2020-05-28
9;12;2020-06-02
9;12;2020-06-04
9;11;2020-04-29
9;11;2020-04-30
9;11;2020-05-05
9;11;2020-05-06
9;11;2020-05-07
9;11;2020-05-12
9;11;2020-05-14
9;10;2020-04-15
9;10;2020-04-16
9;9;2020-03-31
9;9;2020-04-03
9;9;2020-04-06
9;9;2020-04-07
9;9;2020-04-08
9;8;2020-03-26
9;8;2020-03-27
9;7;2020-03-02
9;6;2020-02-14
9;5;2020-02-12
9;5;2020-02-13
9;4;2020-01-22
9;4;2020-01-23
9;3;2020-01-08
9;3;2020-01-09
9;3;2020-01-10
9;2;2019-12-12
9;2;2019-12-19
9;2;2019-12-20
9;1;2019-11-12
9;1;2019-11-13
9;1;2019-11-19
9;1;2019-11-21
8;86;2019-09-11
8;86;2019-10-15
8;86;2019-10-16
8;85;2019-07-31
8;85;2019-08-09
8;85;2019-08-30
8;84;2019-07-17
8;84;2019-07-18
8;84;2019-07-19
8;83;2019-07-03
8;83;2019-07-04
8;82;2019-06-12
8;82;2019-06-13
8;82;2019-06-14
8;81;2019-05-15
8;81;2019-05-16
8;80;2019-04-11
8;80;2019-04-12
8;80;2019-04-25
8;80;2019-04-26
8;79;2019-04-03
8;79;2019-04-04
8;78;2019-03-13
8;78;2019-03-14
8;78;2019-03-15
8;77;2019-01-30
8;77;2019-01-31
8;77;2019-02-20
8;77;2019-02-21
8;77;2019-02-22
8;76;2019-01-16
8;76;2019-01-17
8;75;2018-12-28
8;74;2018-12-12
8;74;2018-12-13
8;74;2018-12-14
8;73;2018-12-05
8;73;2018-12-06
8;73;2018-12-07
8;72;2018-11-21
8;72;2018-11-22
8;72;2018-11-23
8;71;2018-11-07
8;71;2018-11-08
8;71;2018-11-09
8;70;2018-10-23
8;70;2018-10-24
8;69;2018-10-02
8;69;2018-10-03
8;69;2018-10-04
8;68;2018-09-12
8;68;2018-09-13
8;67;2018-07-18
8;67;2018-07-19
8;67;2018-07-20
8;66;2018-07-03
8;66;2018-07-04
8;66;2018-07-05
8;65;2018-06-27
8;64;2018-06-14
8;64;2018-06-15
8;63;2018-06-05
8;63;2018-06-06
8;63;2018-06-07
8;62;2018-05-08
8;62;2018-05-09
8;62;2018-05-10
8;61;2018-04-11
8;61;2018-04-12
8;61;2018-04-13
8;60;2018-03-20
8;60;2018-03-21
8;60;2018-03-22
8;59;2018-02-27
8;59;2018-02-28
8;59;2018-03-01
8;59;2018-03-06
8;58;2018-02-06
8;58;2018-02-07
8;58;2018-02-08
8;57;2018-01-25
8;57;2018-01-26
8;56;2018-01-11
8;55;2018-01-09
8;55;2018-01-10
8;54;2017-12-12
8;54;2017-12-13
8;54;2017-12-14
8;54;2017-12-15
8;53;2017-12-06
8;53;2017-12-07
8;53;2017-12-08
8;52;2017-11-22
8;52;2017-11-23
8;52;2017-11-24
8;51;2017-11-08
8;51;2017-11-09
8;50;2017-10-25
8;50;2017-10-26
8;50;2017-10-27
8;49;2017-10-10
8;49;2017-10-11
8;49;2017-10-12
8;49;2017-10-13
8;48;2017-09-27
8;48;2017-09-28
8;48;2017-09-29
8;47;2017-09-12
8;47;2017-09-13
8;47;2017-09-14
8;47;2017-09-15
8;46;2017-07-18
8;46;2017-07-19
8;46;2017-07-20
8;45;2017-07-05
8;45;2017-07-07
8;45;2017-07-12
8;44;2017-06-20
8;44;2017-06-21
8;44;2017-06-22
8;43;2017-06-07
8;43;2017-06-08
8;43;2017-06-09
8;42;2017-05-24
8;42;2017-05-25
8;41;2017-05-10
8;41;2017-05-11
8;40;2017-04-20
8;40;2017-04-21
8;39;2017-04-05
8;39;2017-04-06
8;39;2017-04-07
8;38;2017-03-22
8;38;2017-03-23
8;37;2017-03-08
8;37;2017-03-09
8;37;2017-03-10
8;36;2017-02-22
8;36;2017-02-23
8;36;2017-02-24
8;35;2017-02-08
8;35;2017-02-09
8;35;2017-02-10
8;34;2017-01-11
8;34;2017-01-12
8;34;2017-01-25
8;34;2017-01-26
8;33;2016-12-16
8;32;2016-12-13
8;32;2016-12-14
8;32;2016-12-15
8;31;2016-11-29
8;31;2016-11-30
8;31;2016-12-01
8;31;2016-12-02
8;30;2016-11-15
8;30;2016-11-16
8;29;2016-11-03
8;29;2016-11-04
8;28;2016-10-19
8;28;2016-10-20
8;28;2016-10-21
8;27;2016-10-04
8;27;2016-10-05
8;27;2016-10-06
8;26;2016-09-21
8;26;2016-09-22
8;26;2016-09-23
8;25;2016-09-13
8;25;2016-09-14
8;24;2016-09-05
8;23;2016-07-19
8;23;2016-07-20
8;23;2016-07-21
8;23;2016-07-22
8;22;2016-07-05
8;22;2016-07-06
8;22;2016-07-07
8;21;2016-06-21
8;21;2016-06-22
8;21;2016-06-23
8;20;2016-06-08
8;20;2016-06-09
8;20;2016-06-10
8;19;2016-05-18
8;19;2016-05-19
8;19;2016-05-20
8;18;2016-05-11
8;18;2016-05-12
8;18;2016-05-13
8;17;2016-04-27
8;17;2016-04-28
8;17;2016-04-29
8;16;2016-04-12
8;16;2016-04-13
8;16;2016-04-14
8;15;2016-03-30
8;15;2016-03-31
8;15;2016-04-01
8;14;2016-03-16
8;14;2016-03-17
8;14;2016-03-18
8;13;2016-03-09
8;13;2016-03-10
8;13;2016-03-11
8;12;2016-02-24
8;12;2016-02-25
8;12;2016-02-26
8;11;2016-02-09
8;11;2016-02-10
8;11;2016-02-11
8;10;2016-01-28
8;10;2016-01-29
8;9;2016-01-27
8;9;2016-01-28
8;8;2016-01-13
8;8;2016-01-14
8;8;2016-01-15
8;7;2015-12-29
8;7;2015-12-30
8;6;2015-12-21
8;6;2015-12-22
8;5;2015-12-15
8;5;2015-12-16
8;5;2015-12-17
8;4;2015-12-09
8;4;2015-12-10
8;3;2015-12-02
8;2;2015-11-25
8;2;2015-11-26
8;1;2015-11-12
8;1;2015-11-13
8;1;2015-11-16
8;1;2015-11-18
8;1;2015-11-19
