posel
Paweł Olszewski
Katarzyna Piekarska
Dariusz Rosati
Zbigniew Ajchler
Sławomir Neumann
Małgorzata Niemczyk
Halina Rozpondek
Arkadiusz Myrcha
Paweł Kowal
Cezary Grabarczyk
Paulina Hennig-Kloska
Małgorzata Kidawa-Błońska
Paweł Papke
Teresa Piotrowska
Izabela Leszczyna
Iwona Krawczyk
Adam Szłapka
Kazimierz Plocke
Grzegorz Schetyna
Bogusław Sonik
Zofia Czernow
Barbara Dolniak
Jerzy Hardie-Douglas
Marta Golbik
Joanna Kluzik-Rostkowska
Włodzimierz Karpiński
Marian Zembala
Aleksandra Gajewska
Elżbieta Gapińska
Paweł Pudłowski
Henryka Krzywonos-Strycharska
Andrzej Czerwiński
Mariusz Witczak
Jan Grabiec
Riad Haidar
Krzysztof Gadowski
Grzegorz Rusiecki
Alicja Chybicka
Józef Lassota
Krzysztof Mieszkowski
Krzysztof Grabczuk
Michał Stasiński
Mirosław Pampuch
Michał Szczerba
Grzegorz Raniewicz
Roman Kosecki
Sławomir Nitras
Anna Wasilewska
Grzegorz Napieralski
Klaudia Jachira
Artur Gierada
Jerzy Meysztowicz
Marek Hok
Joanna Fabisiak
Grzegorz Furgo
Ewa Kołodziej
Małgorzata Chmiel
Maria Janyska
Agnieszka Pomaska
Krystyna Sibińska
Monika Rosa
Mirosława Nykiel
Małgorzata Tracz
Zofia Ławrynowicz
Jolanta Hibner
Krzysztof Brejza
Dariusz Joński
Mirosław Suchoń
Michał Krawczyk
Marek Krząkała
Michał Jaros
Paweł Poncyljusz
Bartłomiej Sienkiewicz
Artur Dunin
Czesław Mroczek
Rafał Grupiński
Ryszard Wilczyński
Elżbieta Radziszewska
Paweł Suski
Wojciech Ziemniak
Dorota Rutkowska
Anna Nemś
Alicja Dąbrowska
Elżbieta Gelert
Urszula Augustyn
Cezary Tomczyk
Jerzy Borowczak
Marcin Kierwiński
Marek Sowa
Paweł Arndt
Danuta Pietraszewska
Elżbieta Stępień
Marcin Święcicki
Stanisław Żmijan
Waldy Dzikowski
Piotr Adamowicz
Tomasz Kostuś
Robert Kropiwnicki
Tomasz Olichwer
Krystyna Szumilas
Iwona Śledzińska-Katarasińska
Adam Korol
Borys Budka
Tadeusz Aziewicz
Anna Wojciechowska
Zdzisław Gawlik
Adam Cyrański
Magdalena Łośko
Izabela Mrzygłocka
Krzysztof Truskolaski
Piotr Borys
Piotr Cieśliński
Dorota Niedziela
Ireneusz Raś
Joanna Frydrych
Gabriela Lenartowicz
Katarzyna Lubnauer
Agnieszka Kołacz-Leszczyńska
Leszek Korzeniowski
Jarosław Urbaniak
Magdalena Kochan
Piotr Misiło
Tomasz Cimoszewicz
Jacek Protas
Tomasz Aniśko
Tomasz Głogowski
Iwona Hartwich
Ewa Drozd
Robert Tyszkiewicz
Stanisław Lamczyk
Marek Wójcik
Magdalena Marek
Bożena Szydłowska
Janusz Cichoń
Stanisław Gawłowski
Tomasz Siemoniak
Kamila Gasiuk-Pihowicz
Leszek Ruszczyk
Katarzyna Osos
Jagna Marczułajtis-Walczak
Norbert Obrycki
Tomasz Szymański
Joanna Jaśkowiak
Maciej Lasek
Franciszek Sterczewski
Krzysztof Piątkowski
Kinga Gajewska
Wojciech Król
Antoni Mężydło
Andrzej Szewiński
Anna Białkowska
Lidia Gądek
Eugeniusz Czykwin
Iwona Kozłowska
Monika Wielichowska
Aleksander Miszalski
Mateusz Bochenek
Kornelia Wróblewska
Witold Zembaczyński
Bożena Kamińska
Beata Małecka-Libera
Agnieszka Hanajczyk
Waldemar Sługocki
Jarosław Wałęsa
Tadeusz Zwiefka
Bożenna Bukiewicz
Joanna Augustynowska
Bożena Henczyca
Paweł Kobyliński
Grzegorz Lipiec
Killion Munyama
Konrad Frysztak
Aldona Młyńczak
Marzena Okła-Drewnowicz
Jakub Rutnicki
Barbara Nowacka
Magdalena Filiks
Sławomir Piechota
Tomasz Lenz
Ewa Lieder
Zbigniew Konwiński
Wojciech Saługa
Joanna Mucha
Marta Wcisło
Włodzimierz Nykiel
Paweł Bańkowski
Marek Rząsa
Szymon Ziółkowski
Arkadiusz Marchewka
Tomasz Kucharski
Artur Łącki
Małgorzata Pępek
Urszula Zielińska
Krystyna Skowrońska
Zbigniew Pawłowicz
Rajmund Miller
Piotr Zientarski
Tomasz Nowak
